sample,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
1.1,0.368995,0.178322,3.47718,3.88738,0.437781
1.2,0.381263,0.185836,3.6562,4.06641,0.455646
1.3,0.386098,0.18637,3.74902,4.15922,0.456751
1.4,0.366358,0.178194,3.70761,4.11781,0.437515
1_CP_0.2,0.353998,0.16894,3.55478,3.96498,0.419344
1_CP_ULT,0.377983,0.183178,3.45575,3.86596,0.452112
1_salt,0.401266,0.197907,3.12774,3.53794,0.48347
2.1_bottom,0.849614,0.427108,4.66817,5.07838,1.19305
2.1_surface,0.590128,0.341579,2.35065,2.76086,0.893388
2.2_bottom,0.789954,0.394578,4.4503,4.85504,1.076
2.2_surface,0.566559,0.37771,1.83122,2.24143,1.11999
2.3_bottom,0.702338,0.371232,3.6998,4.10454,0.982473
2.3_surface,0.576614,0.355807,2.00196,2.41217,0.995935
2_sediment,0.713408,0.352332,4.79819,4.8357,0.978096
3.1,0.413758,0.211986,3.34953,3.75973,0.534995
3.2,0.444967,0.219329,3.68312,4.09333,0.542966
3.3,0.430428,0.215552,3.47176,3.88197,0.53406
3_salt,0.449673,0.214762,3.62703,4.03724,0.525067
3_sediment,0.472735,0.217399,4.39536,4.80557,0.520492
4.1,0.538738,0.24502,4.34164,4.75184,0.587315
4.2,0.492076,0.233654,3.73563,4.14583,0.566564
4.3,0.435131,0.213734,3.56904,3.97925,0.52944
4.4,0.468575,0.214994,4.17141,4.58162,0.514139
4.5,0.382256,0.182101,3.20381,3.61401,0.444736
4_CP_0.2,0.405462,0.19095,3.48582,3.89603,0.46187
4_CP_ULT,0.407378,0.193036,3.30853,3.71874,0.464158
4_salt,0.431808,0.195825,3.72708,4.13729,0.46961
4_sediment,0.406865,0.17268,3.72414,4.13434,0.416666
5.1,0.411383,0.189587,3.87199,4.28219,0.460818
5.2,0.426745,0.201852,3.39003,3.80023,0.4841
5.3,0.468954,0.221824,3.28575,3.69595,0.533689
5.4,0.415211,0.194325,3.48448,3.89468,0.465647
5_salt,0.407983,0.195799,3.41188,3.82209,0.477261
5_sediment,0.351867,0.153905,2.67269,3.50021,0.390795
6.1,0.361254,0.173482,3.26471,3.67492,0.425089
6.1_lab,0.366429,0.171323,3.39282,3.80303,0.423091
6.2,0.38581,0.186965,3.39557,3.80577,0.453805
6.2_lab,0.382177,0.185381,3.31216,3.72236,0.450633
6.3,0.37684,0.181893,3.37353,3.78373,0.443233
6.3_lab,0.373492,0.183227,3.16049,3.5707,0.450597
6.4,0.394255,0.193267,3.29557,3.70578,0.46669
6.5,0.38716,0.189573,3.37194,3.78215,0.461216
6_salt,0.403873,0.189904,3.56712,3.97732,0.464895
6_sediment,0.4157,0.194729,3.44016,3.85036,0.477191
7.1,0.397618,0.18859,3.70481,4.11502,0.457818
7.1_lab,0.412086,0.193342,3.83808,4.24829,0.46552
7.2,0.394843,0.190217,3.70963,4.11984,0.463692
7.2_lab,0.394715,0.184889,3.83831,4.24851,0.447277
7.3,0.383607,0.184511,3.42475,3.83496,0.448313
7.3_lab,0.378503,0.184594,3.66294,4.07315,0.452567
7.4,0.379949,0.183083,3.40789,3.8181,0.449416
7.5,0.391444,0.187507,3.67335,4.08356,0.45773
7_salt,0.42881,0.208197,3.48945,3.89966,0.511344
7_sediment,0.516951,0.238187,4.67952,5.08973,0.57015
8.1,0.389323,0.188156,3.4202,3.8304,0.458262
8.1_lab,0.374062,0.183455,3.28751,3.69771,0.450018
8.2,0.357365,0.173123,3.32961,3.73981,0.427939
8.2_lab,0.380822,0.18562,3.35287,3.76307,0.461394
8.3,0.356806,0.173464,3.33862,3.74883,0.430859
8.3_lab,0.363053,0.177972,3.22672,3.63693,0.437736
8.4,0.36223,0.174922,3.326,3.7362,0.428204
8_salt,0.38479,0.182103,3.31504,3.72525,0.443766
8_sediment,0.459049,0.219995,4.31663,4.72684,0.538847
