sample,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
1.1,0.508708,0.217169,3.1695,3.1695,0.549258
1.2,0.521732,0.227617,2.98923,2.98923,0.572652
1.3,0.509427,0.22192,3.0288,3.0288,0.563436
1.4,0.517488,0.224384,3.2174,3.2174,0.56369
1_CP_0.2,0.470574,0.196995,3.22428,3.22428,0.495494
1_CP_ULT,0.507804,0.216182,3.22886,3.22886,0.545437
2.1_bottom,1.13134,0.539428,5.65515,5.65515,1.49084
2.1_surface,0.721946,0.366994,2.45784,2.45784,0.950822
2.2_bottom,1.11403,0.504716,5.35805,5.35805,1.29376
2.2_surface,0.776316,0.450438,2.24493,2.30517,1.31053
2.3_bottom,1.07741,0.489848,5.34242,5.34242,1.24428
2.3_surface,0.934544,0.432702,3.27545,3.32441,1.05899
3.1,0.615226,0.320592,3.00134,3.00134,0.885753
3.2,0.615989,0.317454,2.98779,2.98779,0.872107
3.3,0.607603,0.307476,3.16305,3.16305,0.836067
4.1,0.926996,0.374872,5.42766,5.42766,0.894469
4.2,0.773282,0.32648,5.11312,5.11312,0.813271
4.3,0.708513,0.324818,4.26334,4.26334,0.845205
4.4,0.733887,0.302221,6.01188,6.01188,0.747419
4.5,0.583199,0.261233,3.1458,3.1458,0.654808
4_CP_0.2,0.667377,0.273201,4.92873,4.92873,0.685402
4_CP_ULT,0.546659,0.241267,2.90383,2.90383,0.609247
5.1,0.525485,0.221572,3.25819,3.25819,0.550562
5.2,0.597584,0.262714,3.00285,3.00285,0.645852
5.4,0.572241,0.248409,3.13013,3.13013,0.613647
6.1,0.467573,0.197171,2.92607,2.92607,0.501029
6.1_lab,0.430593,0.177131,3.05446,3.05446,0.456698
6.2,0.513756,0.223008,3.08094,3.08094,0.565388
6.2_lab,0.528951,0.229508,3.18646,3.18646,0.579075
6.3,0.544787,0.220604,4.43016,4.43016,0.554926
6.3_lab,0.48057,0.207634,2.82982,2.82982,0.528788
6.4,0.532525,0.23518,2.98681,2.98681,0.600867
6.5,0.541827,0.238891,3.04373,3.04373,0.60177
7.1,0.520921,0.219964,3.11299,3.11299,0.542671
7.1_lab,0.553789,0.235028,3.36893,3.36893,0.57582
7.2,0.524446,0.22105,3.29048,3.29048,0.541264
7.2_lab,0.532208,0.223941,3.40112,3.40112,0.55108
7.3,0.505843,0.213331,3.11879,3.11879,0.533754
7.3_lab,0.510545,0.220637,3.03357,3.03357,0.558834
7.4,0.501109,0.213693,2.93447,2.93447,0.538343
7.5,0.493593,0.208057,3.15011,3.15011,0.524232
8.1,0.525491,0.228592,3.05207,3.05207,0.574439
8.1_lab,0.49283,0.214871,2.85598,2.85598,0.548816
8.2,0.471517,0.202084,2.9665,2.9665,0.516845
8.2_lab,0.469266,0.202773,2.791,2.791,0.521368
8.3,0.487262,0.210098,2.9752,2.9752,0.536362
8.3_lab,0.467811,0.202316,2.76585,2.76585,0.519876
8.4,0.497858,0.214064,2.97258,2.97258,0.543371
