sample,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
1.1,1.20065,0.570835,5.91481,6.62959,1.52439
1.2,1.01087,0.499342,5.04282,5.7576,1.31531
1.3,0.876375,0.45267,4.32869,5.04347,1.21996
1.4,0.533054,0.302655,2.17382,3.48847,0.881455
1_CP_0.2,0.572582,0.331031,2.81033,3.4538,0.888385
1_CP_ULT,0.884319,0.480302,3.99044,4.63391,1.32573
1_salt,0.588418,0.358982,2.52604,3.24082,1.04369
2.1_bottom,2.46,0.795803,36.0655,36.2662,1.8171
2.1_surface,2.21253,0.838033,19.1474,19.3481,2.02312
2.2_bottom,2.50584,0.820444,33.7967,33.9975,1.8986
2.2_surface,2.23628,0.834361,20.5653,20.766,2.02071
2.3_bottom,2.51493,0.8302,30.7381,30.868,1.87421
2.3_surface,2.17214,0.822849,19.1352,19.3359,1.98369
2_sediment,2.00769,0.611038,43.4461,43.6469,1.35249
3.1,2.07983,0.845073,11.7927,11.9935,2.01403
3.2,2.01048,0.815776,12.2155,12.4162,1.9735
3.3,1.9429,0.802977,10.9626,11.1634,1.95189
3_salt,0.830659,0.472067,3.19018,3.90496,1.313
3_sediment,1.66291,0.706886,10.4434,10.7625,1.76403
4.1,2.46659,0.784086,41.7687,41.8985,1.7836
4.2,2.53106,0.798675,41.0344,41.1642,1.83334
4.3,2.52732,0.854598,31.8139,31.9438,1.99001
4.4,2.64696,0.869791,36.6757,36.8765,1.99942
4.5,2.65445,0.90072,31.487,31.6878,2.08285
4_CP_0.2,2.3411,0.876315,17.9052,18.035,2.10797
4_CP_ULT,2.40641,0.883665,19.0147,19.1446,2.11777
4_salt,2.76825,0.829565,59.6823,59.8121,1.86536
4_sediment,2.60303,0.800221,53.1098,53.2397,1.81889
5.1,2.53675,0.863065,28.4136,28.6144,2.00261
5.2,2.46855,0.897921,21.6515,21.7813,2.09071
5.3,1.65439,0.676661,7.88085,8.52432,1.63679
5.4,2.47452,0.851943,26.5334,26.7341,1.96472
5_salt,2.25481,0.840907,17.6423,17.7722,2.03097
5_sediment,1.91374,0.700575,21.3076,21.4375,1.719
6.1,1.87507,0.7828,11.5743,11.7751,1.99274
6.1_lab,0.393604,0.245287,1.40493,2.71959,0.678959
6.2,1.70664,0.729717,10.2077,10.4085,1.81306
6.2_lab,0.724234,0.3832,3.37558,4.23094,1.024
6.3,1.08654,0.530509,5.32553,6.04031,1.46136
6.3_lab,0.393604,0.245287,1.40493,2.71959,0.678959
6.4,0.92954,0.507995,4.53104,4.7318,1.39087
6.5,0.609715,0.344937,2.75649,3.61184,0.946755
6_salt,1.54909,0.710363,7.66452,8.05017,1.88089
6_sediment,1.31459,0.669045,5.39317,6.03664,1.88337
7.1,0.904847,0.456463,5.07407,5.41532,1.17055
7.1_lab,1.2063,0.610161,6.02454,6.2253,1.63696
7.2,1.3422,0.638441,7.30672,7.50749,1.69458
7.2_lab,1.05499,0.525981,5.21517,5.85864,1.41395
7.3,0.993791,0.502846,5.51708,5.71784,1.2864
7.3_lab,0.889224,0.480647,4.31717,4.65842,1.30437
7.4,1.27207,0.638245,6.11279,6.31355,1.71724
7.5,1.17167,0.563259,5.94152,6.58499,1.51255
7_salt,1.28843,0.635724,5.70151,6.34497,1.72105
7_sediment,1.84867,0.706129,17.8194,18.0201,1.72354
8.1,0.671522,0.375591,3.08366,3.79844,0.991214
8.1_lab,0.774377,0.414785,3.67458,4.31805,1.07563
8.2,0.778271,0.416155,3.69523,4.3387,1.07858
8.2_lab,0.564911,0.320479,2.57564,3.431,0.839115
8.3,0.554948,0.326305,2.65769,3.30116,0.851738
8.3_lab,0.393604,0.245287,1.40493,2.71959,0.678959
8.4,0.957245,0.510542,3.95997,4.67475,1.43934
8_salt,0.643213,0.358033,2.83648,3.69183,0.949322
8_sediment,1.46625,0.664667,7.31844,7.96191,1.71525
