,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
08.06.2019_4B_24h_16S.exp.,2.037793865,0.328446505,2.30450258,0.847625992,2904.879192,318.407864,3268112.692,256333.2929,55.34824534,8.225383988,0.369128011,0.110037514,0.423477654,0.156665216
08.06.2019_2B_Top_10h_16S.exp.,2.164958779,0.138843759,2.344936024,0.163727604,3161.366162,264.0424347,3346750.4,285170.9722,65.54659261,3.223075446,0.460707066,0.055519775,0.49428788,0.059704167
2019.08.06_5.3_16S.exp.,1.740083724,0.523978282,2.599857644,0.764773119,2808.326394,404.2408072,3105750.83,430809.8257,59.12811625,8.295705896,0.451921627,0.14627121,0.484263527,0.155835497
2019.08.07_7.1_lab_16S.exp.,1.923304023,0.420846503,2.551602029,1.386816773,2998.177754,383.5339716,3310221.389,342037.5216,57.42239548,8.038859871,0.4039842,0.12584179,0.482158941,0.160412818
2019.08.06_3.3_16S.exp.,2.031013007,0.287670683,2.36635361,0.846972295,2902.097595,381.7809755,3271276.451,340864.8979,54.5047162,8.034802231,0.359074929,0.111334009,0.447700988,0.177592721
2019.08.07_7.3_lab_16S.exp.,1.934967834,0.396228289,2.470371836,1.389100075,2980.884073,357.19419,3297441.309,298527.5134,56.76569797,7.951966575,0.394735041,0.12143437,0.472515085,0.161802519
08.06.2019_1B_10h_16S.exp.,1.965346579,0.372157149,2.388353215,1.240369092,3032.710619,375.4092132,3332607.445,341522.3126,58.03113347,7.82871749,0.405267074,0.114541847,0.48383649,0.152379839
08.06.2019_2A_Top_10h_16S.exp.,2.16729536,0.114276146,2.355337608,0.266690526,3174.00503,194.9781671,3363768.577,204355.442,65.52975118,2.939529938,0.461977713,0.043791744,0.495115215,0.048208987
2019.08.07_8.1_16S.exp.,1.997632211,0.28328624,2.263948315,0.992877864,2910.415505,355.8830155,3271023.635,304685.2806,54.59699752,7.894362215,0.359171242,0.106653478,0.453494312,0.17629646
08.06.2019_1B_24h_16S.exp.,1.972998116,0.360467163,2.358891719,1.215729527,3030.888628,375.1882764,3328258.871,343462.9963,58.00714935,7.791217331,0.403611512,0.112850726,0.480650661,0.151087882
