,phylum,class,order,family,genus,species,taxon
148,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,Halalkalicoccus jeotgali,Halalkalicoccus jeotgali B3
154,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas moolapensis,Natronomonas moolapensis 8.8.11
163,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,Haloarcula
164,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,Halomicrobium mukohataei DSM 12286
166,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis sp. IM1011,Halorientalis sp. IM1011
167,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum,Halapricum salinum
176,Euryarchaeota,Halobacteria,,,,,Halobacteria
183,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium hubeiense,Halobacterium hubeiense
184,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,Halobacterium salinarum NRC-1
189,Euryarchaeota,Halobacteria,,,,,Halobacteria
192,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790
193,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi
204,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,Haloprofundus sp. MHR1,Haloprofundus sp. MHR1
209,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,,Haloplanus
214,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum trapanicum,Halorubrum trapanicum
215,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. BOL3-1,Halorubrum sp. BOL3-1
216,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum ezzemoulense,Halorubrum ezzemoulense
219,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,Halorubrum
223,,,,,,,Archaea
224,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,Halohasta litchfieldiae,Halohasta litchfieldiae
228,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Salinigranum,Salinigranum rubrum,Salinigranum rubrum
230,,,,,,,Archaea
232,,,,,,,Archaea
303,Candidatus Korarchaeota,,,,Candidatus Korarchaeum,Candidatus Korarchaeum cryptofilum,Candidatus Korarchaeum cryptofilum OPF8
302,Candidatus Micrarchaeota,,,,Candidatus Mancarchaeum,Candidatus Mancarchaeum acidiphilum,Candidatus Mancarchaeum acidiphilum
160,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula sp. CBA1115,Haloarcula sp. CBA1115
178,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halodesulfurarchaeum,Halodesulfurarchaeum formicicum,Halodesulfurarchaeum formicicum
187,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,,Halobacterium
225,Euryarchaeota,Halobacteria,Haloferacales,,,halophilic archaeon DL31,halophilic archaeon DL31
155,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,,Natronomonas
156,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Salinarchaeum,Salinarchaeum sp. Harcht-Bsk1,Salinarchaeum sp. Harcht-Bsk1
168,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,,Haloarculaceae archaeon HArcel1,Haloarculaceae archaeon HArcel1
177,Euryarchaeota,Halobacteria,,,,,Halobacteria
188,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,,,Halobacteriaceae
190,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense,Halogeometricum borinquense DSM 11551
206,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus sp. CBA1113,Haloplanus sp. CBA1113
207,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,,Haloplanus
218,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,Halorubrum
233,,,,,,,Archaea
234,,,,,,,Archaea
191,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi C23
151,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,Halorussus sp. RC-68,Halorussus sp. RC-68
434,Euryarchaeota,,,,,,Diaforarchaea group
213,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,Halorubrum
220,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,Halopenitus persicus,Halopenitus persicus
221,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,,,Halorubraceae
12,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,Methanobrevibacter
65,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanothrix,,Methanothrix
408,,,,,,,Archaea
418,Euryarchaeota,Thermoplasmata,,,,,Thermoplasmata
468,,,,,,,Archaea
99,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus mahii,Methanohalophilus mahii DSM 5219
113,Euryarchaeota,Methanomicrobia,,,,,Methanomicrobia
185,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp. DL1,Halobacterium sp. DL1
40,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,,,Archaeoglobaceae
169,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus utahensis,Halorhabdus utahensis DSM 12940
171,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,,Halorhabdus
318,Thaumarchaeota,,,,,,Thaumarchaeota
127,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema versiforme,Natrinema versiforme
128,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema sp. J7-2,Natrinema sp. J7-2
146,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,,,Natrialbaceae
170,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,Halorhabdus tiamatea SARL4B
180,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens,Halanaeroarchaeum sulfurireducens
181,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,,,Halobacteriaceae
194,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus limi,Halobellus limi
256,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. IOH1,Thermococcus sp. IOH1
301,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,,,Thermococcaceae
211,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. PV6,Halorubrum sp. PV6
110,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,,,Methanosarcinaceae
175,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,,,Haloarculaceae
