,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
2019.08.06_4_salt_16S.exp.,2.460748611,1.98574484,2.487178636,1.792031329,3222.948101,1241.990613,3802427.999,1442532.006,55.97460583,12.87409903,0.407092505,0.087562938,0.455429646,0.125897434
2019.08.06_5.4_16S.exp.,1.50361746,1.430899847,3.227976627,1.56085576,3156.221954,753.5723966,3837714.157,892365.801,60.75011709,10.75711633,0.382099156,0.085064489,0.495237354,0.159120599
08.06.2019_3A_48h_16S.exp.,1.00385307,0.140603424,4.461426492,0.806896835,3083.847247,119.9860882,3886846.624,159293.1031,65.74721648,0.691969336,0.366170936,0.003280648,0.459153792,0.136074819
2019.08.06_1.3_16S.exp.,1.309553387,1.323765697,3.733688258,1.552708168,3029.159905,724.2780113,3861290.525,968239.5614,62.16792841,9.932734905,0.363770558,0.030739929,0.533791684,0.14563036
08.06.2019_3A_10h_16S.exp.,1.041954742,0.301798903,4.174433174,1.339797627,3060.915143,233.8110887,3844702.31,334627.9915,65.18232019,4.226993803,0.368777118,0.025336793,0.43369473,0.124456396
2019.08.07_6_salt_16S.exp.,1.034254462,0.418006855,1.543139513,1.218585495,1608.797651,711.8274696,2234574.148,810191.5431,40.48499779,11.99049027,0.41464216,0.037279016,0.44402801,0.07884647
2019.08.06_3_sediment_16S.exp.,1.528810421,1.068275174,3.235730221,1.725983502,2755.557679,588.0860849,3418241.838,770111.8158,59.90708117,10.32476352,0.39299805,0.051076013,0.425148128,0.098663488
08.06.2019_2B_Top_10h_16S.exp.,2.008334172,0.884373779,1.073909678,0.356752264,2687.961732,951.9681281,3066117.83,1226445.696,52.35826787,15.51575233,0.429685141,0.121355873,0.4639191,0.15234889
08.06.2019_2A_Top_48h_16S.exp.,1.9822611,0.863663966,1.068244035,0.377720815,2531.694228,973.7315776,2852929.386,1222558.039,51.87392554,16.32433968,0.461934179,0.085540866,0.48117976,0.105121114
08.06.2019_2A_Bottom_10h_16S.exp.,2.071600607,0.917108403,1.13131114,0.502054414,2740.929732,950.043588,3138546.738,1219233.329,51.19336786,15.3325805,0.417657423,0.121215195,0.463041447,0.160853783
08.06.2019_4_T0_16S.exp.,1.541932359,1.29949989,2.547636344,1.642353486,3242.623416,1308.687645,3813775.007,1492922.919,60.89216965,10.42081287,0.41720629,0.071129409,0.484353696,0.121854987
2019.08.06_4_CP_0.2_16S.exp.,1.82093535,1.738770109,3.184550255,1.684237015,3373.522764,1209.710815,4051071.412,1300173.059,61.52971159,9.837658898,0.397130105,0.056385859,0.461566036,0.118921425
