,phylum,class,order,family,genus,species,taxon
38,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens,Methylorubrum extorquens PA1
47,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. C1,Methylobacterium sp. C1
80,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,Rhizobiales bacterium PAMC 29148,Rhizobiales bacterium PAMC 29148
146,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium ottawaense,Bradyrhizobium ottawaense
164,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
169,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingosinicella,Sphingosinicella microcystinivorans,Sphingosinicella microcystinivorans
257,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter dongtanensis,Altererythrobacter dongtanensis
306,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. PAMC26645,Sphingomonas sp. PAMC26645
315,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. FARSPH,Sphingomonas sp. FARSPH
335,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. KC8,Sphingomonas sp. KC8
345,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadaceae
355,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula bermudensis,Parvularcula bermudensis HTCC2503
363,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Methyloceanibacter,,Methyloceanibacter
364,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,Caulobacteraceae bacterium OTSz_A_272,Caulobacteraceae bacterium OTSz_A_272
381,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus <bacteria>,Paracoccus sp. BM15,Paracoccus sp. BM15
385,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Rhodobacteraceae bacterium QY30,Rhodobacteraceae bacterium QY30
386,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus <bacteria>,Paracoccus aminovorans,Paracoccus aminovorans
398,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus <bacteria>,Paracoccus sp. Arc7-R13,Paracoccus sp. Arc7-R13
402,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,Rhodovulum sp. P5,Rhodovulum sp. P5
410,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter sp. LPB0142,Rhodobacter sp. LPB0142
411,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter capsulatus,Rhodobacter capsulatus SB 1003
421,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
433,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
434,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
495,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria sp. TM1040,Ruegeria sp. TM1040
541,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibacterium,Roseibacterium elongatum,Roseibacterium elongatum DSM 19469
543,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
698,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,Rhizobiales
761,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,Bartonella apis
781,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia sp. A16,Devosia sp. A16
794,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas diminuta,Brevundimonas diminuta
843,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Haematospirillum,Haematospirillum jordaniae,Haematospirillum jordaniae
864,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Rhodospirillaceae
888,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Rhodospirillaceae
890,Proteobacteria,Alphaproteobacteria,Holosporales,Caedimonadaceae,Candidatus Nucleicultrix,Candidatus Nucleicultrix amoebiphila,Candidatus Nucleicultrix amoebiphila FS5
