,Apicomplexa_156,Apicomplexa_326,Apicomplexa_327,Apicomplexa_422,Apicomplexa_433,Apusomonadidae_1,Apusomonadidae_14,Apusomonadidae_4,Apusomonadidae_5,Apusomonadidae_8,Centroheliozoa_1,Centroheliozoa_2,Centroheliozoa_4,Centroheliozoa_5,Centroheliozoa_7,Centroheliozoa_8,Cercozoa_1,Cercozoa_106,Cercozoa_135,Cercozoa_139,Cercozoa_14,Cercozoa_144,Cercozoa_155,Cercozoa_161,Cercozoa_165,Cercozoa_167,Cercozoa_170,Cercozoa_173,Cercozoa_195,Cercozoa_196,Cercozoa_198,Cercozoa_199,Cercozoa_20,Cercozoa_200,Cercozoa_207,Cercozoa_21,Cercozoa_212,Cercozoa_218,Cercozoa_23,Cercozoa_237,Cercozoa_239,Cercozoa_24,Cercozoa_242,Cercozoa_249,Cercozoa_250,Cercozoa_251,Cercozoa_252,Cercozoa_285,Cercozoa_287,Cercozoa_288,Cercozoa_289,Cercozoa_294,Cercozoa_311,Cercozoa_32,Cercozoa_324,Cercozoa_33,Cercozoa_332,Cercozoa_337,Cercozoa_338,Cercozoa_339,Cercozoa_347,Cercozoa_36,Cercozoa_409,Cercozoa_41,Cercozoa_412,Cercozoa_416,Cercozoa_418,Cercozoa_424,Cercozoa_432,Cercozoa_50,Cercozoa_55,Cercozoa_61,Cercozoa_64,Cercozoa_79,Cercozoa_8,Cercozoa_81,Cercozoa_86,Cercozoa_94,Cercozoa_95,Cercozoa_96,Chlorophyta_352,Chlorophyta_388,Chlorophyta_440,Chlorophyta_684,Chlorophyta_753,Chlorophyta_815,Ciliophora_104,Ciliophora_1186,Ciliophora_1225,Ciliophora_1308,Ciliophora_1325,Ciliophora_1344,Ciliophora_135,Ciliophora_1416,Ciliophora_1461,Ciliophora_1639,Ciliophora_191,Ciliophora_246,Ciliophora_357,Ciliophora_428,Ciliophora_446,Ciliophora_471,Ciliophora_472,Ciliophora_473,Ciliophora_520,Ciliophora_574,Ciliophora_583,Ciliophora_585,Ciliophora_667,Ciliophora_750,Ciliophora_78,Ciliophora_800,Ciliophora_807,Ciliophora_817,Ciliophora_818,Conosa_124,Conosa_125,Conosa_126,Conosa_135,Conosa_30,Conosa_41,Conosa_64,Conosa_69,Conosa_91,Conosa_96,Conosa_97,Cryptophyta_116,Cryptophyta_12,Cryptophyta_23,Cryptophyta_33,Cryptophyta_34,Cryptophyta_41,Cryptophyta_5,Cryptophyta_83,Cryptophyta_84,Dinoflagellata_1171,Dinoflagellata_1195,Dinoflagellata_1204,Dinoflagellata_124,Dinoflagellata_1249,Dinoflagellata_1376,Dinoflagellata_1397,Dinoflagellata_1417,Dinoflagellata_1495,Dinoflagellata_1539,Dinoflagellata_1541,Dinoflagellata_1597,Dinoflagellata_1712,Dinoflagellata_1729,Dinoflagellata_1778,Dinoflagellata_1804,Dinoflagellata_1817,Dinoflagellata_1928,Dinoflagellata_1942,Dinoflagellata_716,Dinoflagellata_717,Dinoflagellata_961,Dinoflagellata_97,Discoba_16,Discoba_17,Discoba_18,Discoba_25,Discoba_26,Discoba_30,Discoba_32,Discoba_34,Glaucophyta_2,Glaucophyta_6,Katablepharidophyta_1,Lobosa_27,Lobosa_39,Lobosa_44,Metamonada_11,Metamonada_12,Metamonada_15,Metamonada_16,Metamonada_17,Metamonada_19,Metamonada_22,Metamonada_24,Metamonada_30,Metamonada_33,Metamonada_6,Metamonada_7,Ochrophyta_1092,Ochrophyta_4,Ochrophyta_54,Ochrophyta_731,Ochrophyta_881,Opalozoa_10,Opalozoa_12,Opalozoa_131,Opalozoa_14,Opalozoa_164,Opalozoa_17,Opalozoa_173,Opalozoa_176,Opalozoa_180,Opalozoa_186,Opalozoa_190,Opalozoa_194,Opalozoa_198,Opalozoa_2,Opalozoa_25,Opalozoa_30,Opalozoa_4,Opalozoa_9,Picozoa_13,Picozoa_2,Picozoa_3,Picozoa_4,Pseudofungi_114,Pseudofungi_49,Pseudofungi_52,Pseudofungi_55,Radiolaria_0,Radiolaria_10,Radiolaria_101,Radiolaria_102,Radiolaria_103,Radiolaria_108,Radiolaria_11,Radiolaria_115,Radiolaria_116,Radiolaria_19,Radiolaria_2,Radiolaria_29,Radiolaria_30,Radiolaria_32,Radiolaria_33,Radiolaria_35,Radiolaria_36,Radiolaria_38,Radiolaria_43,Radiolaria_44,Radiolaria_45,Radiolaria_47,Radiolaria_48,Radiolaria_49,Radiolaria_50,Radiolaria_63,Radiolaria_66,Radiolaria_67,Radiolaria_71,Radiolaria_90,Rhodophyta_125,Rhodophyta_263,Rhodophyta_314,Sagenista_118,Sagenista_119,Sagenista_125,Sagenista_130,Sagenista_160,Sagenista_165,Sagenista_170,Sagenista_209,Sagenista_30,Sagenista_31,Sagenista_36,Sagenista_46,Sagenista_48,Sagenista_49,Sagenista_50,Sagenista_51,Sagenista_53,Sagenista_54,Sagenista_61,Sagenista_63,Sagenista_66,Sagenista_71,Sagenista_79,Sagenista_84,Sagenista_86,Sagenista_88,Sagenista_98,Streptophyta_2,Streptophyta_20,Streptophyta_229,Streptophyta_3,Streptophyta_30,Streptophyta_350,Streptophyta_390,Streptophyta_419,Streptophyta_424,Streptophyta_433,Streptophyta_437,Streptophyta_453,Streptophyta_458,Streptophyta_464,Streptophyta_474,Streptophyta_476,Streptophyta_48,Streptophyta_487,Streptophyta_494,Streptophyta_503,Streptophyta_504,Streptophyta_507,Streptophyta_51,Streptophyta_520,Streptophyta_521,Streptophyta_541,Streptophyta_543,Streptophyta_547,Streptophyta_550,Streptophyta_552,Streptophyta_557,Streptophyta_59,Telonemia_16,Telonemia_17,Telonemia_27,Telonemia_28,Telonemia_29,Telonemia_3
2019.08.07_6.4_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,41,,,,,,194,1126,,,,,,,,,,,,,,,,,,,11811,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5
08.06.2019_4B_diluted_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,49,,,,,,,,,,,,263,,,,,,,,134,1850,,,,,,,110,,,,,2,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,91,,,,,,,,,,,,,,195,,,,,,,78,,,,,14,,,,,,,,,,,1174
2019.08.06_1.1_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,967,,239,,,,,,890,5522,,,,,,,510,,,,,,,,,,,,13411,,,,,,,,,,,,,,,,,11,,,,,57,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
08.06.2019_2A_Bottom_48h_18S.18S.exp.,,89,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,12,,,6,,,,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,873,,,,,,12,128,,,,,,,,,,,,35,530,21,,,,,,,,,,,,,5,,,,58,,,,9,,,,,,,,,,,,,14,,,,,,,354,5,,,,,,159,139,119,64,,,,10845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16989
2019.08.06_1.2_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,8,27,,,,,,,,,,,6,,4,7,,,,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,,110,,,,,,349,2521,,,,,,,52,,,,,,,,,,,,9469,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,14
2019.08.06_4_CP_ULT_18S.18S.exp.,,,,157,,,,,,,,,25,,,,147,22,,,,,,,,,,50,44,59,,26,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,16,,40,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,68,,,,,,,,,,,,,241,,,,,,,,123,2280,,,,,,,56,,,,,,,,,,,,154,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,219,,,,,,,,,,31,,,,,,,,,,,3,,610
2019.08.07_6.1_18S.18S.exp.,,59,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,157,,42,,,,,,149,849,,,,,,,67,,,,,,,,,,,,12487,22,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557
08.06.2019_4B_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,101,37,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,41,,,,,,863,1010,,,,,,,33,,,,,,,,,,,40,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,132
2019.08.07_7.3_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,912,,309,,,,63,,698,6321,,,,,,,56,,,,,,,,,,,,28,1746,,,,,,,2,,,,,,1,,,26,,,,,64,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,8
2019.08.07_8.1_18S.18S.exp.,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1560,,386,,,,,,5647,5041,,,,,,,127,,,,,,,,,,,,974,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,
2019.08.07_7.4_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,787,,240,,,,,,2381,4059,,,,,,,101,,,,,,,,,,,,1626,,,,,,,,,,,,,,4,,,27,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.08.07_6.3_18S.18S.exp.,,15,,,,,,,,,,,3,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1105,,209,,,,,,581,6304,,,,,,,19,,,,,,,,,,,,19451,16,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,26,,,,,,,,,,,,,,,,176
