,kingdom,supergroup,division,class,order,family,genus,species,taxon
Cercozoa_288,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Paracercomonadidae,Paracercomonas,Paracercomonas_sp.,Paracercomonas_sp.
Opalozoa_10,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Anoecales,Cafeteriaceae,Cafeteria,Cafeteria_minima,Cafeteria_minima
Opalozoa_131,Eukaryota,Stramenopiles,Opalozoa,Opalinata,Opalinata_X,Blastocystis-Group,Blastocystis,Blastocystis_sp.,Blastocystis_sp.
Opalozoa_180,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12A,MAST-12A_X,MAST-12A_XX,MAST-12A_XX_sp.,MAST-12A_XX_sp.
Opalozoa_186,Eukaryota,Stramenopiles,Opalozoa,Placidideae,Placidiales,Placidiales_X,Placidiales_XX,Placidiales_XX_sp.,Placidiales_XX_sp.
Radiolaria_101,Eukaryota,Rhizaria,Radiolaria,Acantharea,,,,,Acantharea
Radiolaria_102,Eukaryota,Rhizaria,Radiolaria,,,,,,Radiolaria
Streptophyta_507,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,,,Embryophyceae_XX
Telonemia_3,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,Telonemia-Group-2_X_sp.
Cercozoa_1,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Cryptofilida,Nanofilidae,Nanofila,Nanofila_sp.,Nanofila_sp.
Cercozoa_416,Eukaryota,Rhizaria,Cercozoa,,,,,,Cercozoa
Cercozoa_81,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Spongomonadida,Spongomonadidae,Spongomonas,Spongomonas_minima,Spongomonas_minima
Conosa_69,Eukaryota,Amoebozoa,Conosa,Archamoebea,Archamoebea_X,Entamoebidae,Entamoeba,,Entamoeba
Lobosa_27,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,LOS7N/I-lineage,LOS7N/I-lineage_X,LOS7N/I-lineage_X_sp.,LOS7N/I-lineage_X_sp.
Metamonada_19,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,,,,Oxymonadida
Opalozoa_4,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Anoecales,Symbiomonaceae,Symbiomonas,Symbiomonas_scintillans,Symbiomonas_scintillans
Picozoa_4,Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,Picozoa_XXXX_sp.
Sagenista_98,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthulaceae_X,Labyrinthulaceae_X_sp.,Labyrinthulaceae_X_sp.
Streptophyta_2,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Glycine,Glycine_max,Glycine_max
Streptophyta_474,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Mazus,Mazus_pumilus,Mazus_pumilus
Streptophyta_543,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Solanum,Solanum_tuberosum,Solanum_tuberosum
