,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
2019.08.07_6.3_small_16S.exp.,1.0627311522048364,0.4388320747141848,1.5603547820266086,0.7999073781126264,1834.3964103422306,1077.9931768786942,2367356.2799849384,1286123.072787022,49.0279890044972,14.145967813464003,0.3708781068818437,0.034402589789550575,0.5495350861931526,0.1140653529008822
2019.08.06_3.3_16S.exp.,1.035112514790943,0.32828545126156694,1.5302227449424597,0.948693346999973,2958.9657429913873,198.84953024640075,3709931.0624204944,276908.533215127,65.85697938793056,2.5385369286883384,0.34731112986657586,0.023996276935039168,0.4196709369840472,0.13216181514045572
2019.08.07_8.2_16S.exp.,1.1179355912541296,0.6000538897530565,1.94907489134912,1.0474300094133666,3024.2545288712918,355.72387333694877,3792993.986747535,421083.5093484801,64.9538806104538,5.336162035611164,0.3408763864182804,0.029919328580952132,0.5002391045286074,0.1596395699242857
2019.08.06_1.1_16S.exp.,1.2817290122229483,0.89553341109586,2.051097793052518,1.0682586155296099,2949.0379327974542,782.8901130386923,3693177.5616733413,929262.591467568,61.317675786943184,10.278180248235085,0.3380944784617225,0.046941094721188584,0.5464551622763615,0.1554063139189247
2019.08.06_5.1_16S.exp.,1.6179837219310902,1.374886791997224,1.8228309802719964,1.128358249414497,3105.9059958106686,753.1866310229074,3803549.3312118244,889526.8722724572,60.12842284492598,11.53892082241762,0.34451514518636167,0.0814015760075438,0.4678619378313004,0.17588845064750327
2019.08.07_6.1_16S.exp.,1.1305152159837202,0.6055652867137487,1.6403138778404713,0.9020089523798878,2200.6385533253165,1089.464250629353,2792553.7951685013,1298844.2977816595,53.532369471531645,14.227525927887802,0.36358489684394846,0.04333604998873687,0.5310995160435084,0.1325298708352627
2019.08.07_6.2_small_16S.exp.,1.0686225132208511,0.45966263094771087,1.5472356879039704,0.7640870613986739,1823.7323144883737,1081.2881739926715,2356588.7243216443,1291970.5030951514,48.79208175703594,14.099632703257765,0.3706701955780756,0.03531162835707791,0.5533580034125415,0.1126568051691725
2019.08.07_7.1_small_16S.exp.,1.3350890295192799,0.9658653017889726,2.4686136551236193,0.9756844560751862,3067.900783512178,708.3546041059865,3827658.205436107,844153.795231004,62.04425950466055,9.368941147360617,0.3344217175759097,0.05018927936605859,0.6104876195429677,0.12434021235211576
2019.08.07_6.5_16S.exp.,1.091077372158838,0.5263217404465586,1.7104135889266625,0.9323180265228468,2297.593287411969,1053.7331563804871,2920734.3917555134,1256813.413372272,55.12076228472351,13.925215687317325,0.3590243450894164,0.036526839978553896,0.5294866805623679,0.1360990924467841
2019.08.06_4.4_16S.exp.,1.8632779584178703,1.475362833533551,1.6671430927004536,1.0509564804518534,3112.629570987256,962.6579826349033,3771018.3703789744,1187476.2505911249,56.582672110882385,13.181858987029287,0.3526753262563069,0.08953232545319766,0.44448998223575464,0.169007932319142
2019.08.07_7.4_16S.exp.,1.2657160945008776,0.8724055991003459,2.2501227782413933,1.0344076432985452,3091.549811516215,533.8543458747027,3863660.842031884,631775.9252972021,63.51715327846629,7.627091561960786,0.3349939319406037,0.04369189225108536,0.5652040190426874,0.1521424419251488
2019.08.07_7.2_small_16S.exp.,1.2368715412692806,0.8273264558028003,2.237645708230308,1.072713117073086,3037.6821441186853,589.6064703899252,3794151.170172495,712832.1002247784,63.29416645898695,7.96226960949447,0.3373017914361371,0.042987664736237836,0.5531744173700512,0.15462904114250792
2019.08.06_4.1_16S.exp.,1.7799919883927118,1.1681589021529297,1.5538914067087142,1.1745210276690328,3007.425941357771,921.1816381497583,3563592.784731258,1201581.7342730535,57.5785599930408,11.461145193104329,0.3856639890174349,0.10324472847516963,0.48424305367923565,0.15684322534907955
2019.08.07_7.1_16S.exp.,1.2933660933660933,0.9115639461376581,2.288902538902539,1.0324548444088582,3092.8029484029475,583.5817516857272,3863207.818058968,693749.3011757046,63.1117416685436,8.13885638304601,0.3337707309367177,0.04588862852199804,0.5732237727594857,0.14981511780076595
2019.08.06_5.4_16S.exp.,1.6116288398167948,1.8260946708013341,1.8396993348738946,1.1216806691504775,3099.298882773521,776.525239225795,3761011.258045277,923745.8018093749,60.96991184865823,10.805680568434962,0.36169385253352215,0.08046751694663035,0.47649031262600994,0.16024095581630624
