,phylum,class,order,family,genus,species,taxon
9545,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,
9611,Bacteroidetes,Cytophagia,Cytophagales,Amoebophilaceae,,,
9733,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,GCF_003290325.1_Salinibacter ruber_strain=P13
9734,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,GCF_003491185.1_Salinibacter ruber_strain=P18
9741,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,GCF_003491205.1_Salinibacter ruber_strain=RM158
9742,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,
365,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,,,,
517,Proteobacteria,Deltaproteobacteria,Bradymonadales,,,,
549,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,,
860,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas titanicae,GCF_006542315.2_Halomonas titanicae_strain=ANRCS81
1128,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina sp. OT37-5b,GCF_002968395.1_Idiomarina sp. OT37-5b_strain=OT37-5b
5772,Proteobacteria,Gammaproteobacteria,Chromatiales,Thioalkalibacteraceae,Guyparkeria,Guyparkeria halophila,GCF_009734265.1_Guyparkeria halophila_strain=sp2
6091,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella sp. HZ20,GCF_003058465.1_Bordetella sp. HZ20_strain=HZ20
8155,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maribius,Maribius sp. THAF1,GCF_009363795.1_Maribius sp. THAF1_strain=THAF1
8266,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,GCF_001678945.1_Phaeobacter gallaeciensis_strain=JL2886
8889,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Owenweeksia hongkongensis,GCF_000236705.1_Owenweeksia hongkongensis DSM 17368_strain=DSM 17368
9334,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus torquis,GCF_000153485.2_Psychroflexus torquis ATCC 700755_strain=ATCC 700755
9467,,,,,,,
10331,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,Halanaerobium praevalens,GCF_000165465.1_Halanaerobium praevalens DSM 2228_strain=DSM 2228
10507,,,,Candidatus Chazhemtobacteraceae,Candidatus Chazhemtobacterium,Candidatus Chazhemtobacterium aquaticus,GCF_009936135.1_Candidatus Chazhemtobacterium aquaticus
11048,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,
12333,Tenericutes,,,,Candidatus Izimaplasma,Candidatus Izimaplasma sp. HR1,GCF_000755705.1_Candidatus Izimaplasma sp. HR1_strain=HR1
14814,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pontimonas,Pontimonas salivibrio,GCF_002950575.1_Pontimonas salivibrio_strain=CL-TW6
